name,status,changed_percent,bbox_width,bbox_height,diff_bbox
IMG_9146.jpg,通过,0.4011,273,272,"(1179, 1773, 1452, 2045)"
IMG_9147.jpg,通过,0.7663,368,371,"(1194, 1878, 1562, 2249)"
IMG_9148.jpg,通过,0.3715,305,309,"(877, 1762, 1182, 2071)"
IMG_9149.jpg,通过,0.7954,418,424,"(1281, 1768, 1699, 2192)"
IMG_9150.jpg,通过,0.9512,440,435,"(1275, 1400, 1715, 1835)"
IMG_9151.jpg,通过,2.0983,739,736,"(1021, 1794, 1760, 2530)"
IMG_9152.jpg,通过,1.9863,714,718,"(886, 1762, 1600, 2480)"
IMG_9153.jpg,通过,1.8246,689,694,"(880, 1741, 1569, 2435)"
IMG_9154.jpg,通过,1.135,476,475,"(866, 1568, 1342, 2043)"
IMG_9155.jpg,通过,1.1315,465,459,"(996, 1480, 1461, 1939)"
IMG_9156.jpg,通过,0.3906,282,286,"(1416, 808, 1698, 1094)"
IMG_9157.jpg,通过,0.3205,258,258,"(1206, 820, 1464, 1078)"
IMG_9158.jpg,通过,0.7862,411,413,"(759, 340, 1170, 753)"
IMG_9159.jpg,通过,0.5602,422,425,"(1637, 1023, 2059, 1448)"
IMG_9160.jpg,通过,0.4538,359,367,"(1807, 898, 2166, 1265)"
IMG_9161.jpg,通过,1.1207,588,603,"(1679, 706, 2267, 1309)"
IMG_9162.jpg,通过,0.994,560,562,"(1995, 761, 2555, 1323)"
IMG_9163.jpg,通过,2.2131,627,641,"(1227, 510, 1854, 1151)"
IMG_9164.jpg,通过,2.0271,604,610,"(1374, 433, 1978, 1043)"
IMG_9165.jpg,通过,3.7775,827,839,"(1058, 621, 1885, 1460)"
IMG_9166.jpg,通过,3.1626,791,800,"(1307, 596, 2098, 1396)"
IMG_9167.jpg,通过,3.3366,827,844,"(880, 919, 1707, 1763)"
IMG_9168.jpg,通过,1.9997,604,614,"(1326, 827, 1930, 1441)"
IMG_9169.jpg,通过,2.0756,636,643,"(1240, 738, 1876, 1381)"
IMG_9170.jpg,通过,2.0432,628,638,"(1106, 882, 1734, 1520)"
IMG_9171.jpg,通过,2.1269,664,679,"(1225, 658, 1889, 1337)"
IMG_9172.jpg,通过,2.4345,648,651,"(1224, 611, 1872, 1262)"
IMG_9174.jpg,复检,0.0897,154,156,"(1047, 2834, 1201, 2990)"
IMG_9175.jpg,复检,0.1459,175,177,"(1195, 2707, 1370, 2884)"
IMG_9176.jpg,复检,0.1173,162,163,"(1677, 2459, 1839, 2622)"
